Địa chỉ,Diện tích,Mức giá,Mặt tiền,Đường vào,Hướng nhà,Hướng ban công,Số tầng,Số toilet,Pháp lý,Nội thất,Số phòng ngủ
"Đường Âu Cơ, Phường Nhật Tân, Tây Hồ, Hà Nội",50 m²,5.6 tỷ,4 m,3 m,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,"Nội thất quá đẹp quá hiện đại, toàn đồ gỗ cao cấp từ tủ bếp đến cầu thang cửa chính, cửa thông phòng. Thiết bị điện Panasonic, Cửa quân Boosdoor. Trần thạch cao siêu đẹp. Đảm bảo không có con thứ 2 cù",5 phòng
"Phố Kim Mã, Phường Ngọc Khánh, Ba Đình, Hà Nội",56 m²,5.6 tỷ,5 m,3 m,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,"Nhà đầu tư rất kỹ về nội thất: Sàn nhà gỗ nhập khẩu, bậc cầu thang cửa thông phòng bằng gỗ Lim nguyên khối, thiết bị vệ sinh ToTo, hệ thống chiếu sáng thông minh tự động",4 phòng
"Đường Đào Tấn, Phường Cống Vị, Ba Đình, Hà Nội",56 m²,5.6 tỷ,5 m,3 m,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,"Nhà đầu tư rất kỹ về nội thất: Sàn nhà gỗ nhập khẩu, bậc cầu thang cửa thông phòng bằng gỗ Lim nguyên khối, thiết bị vệ sinh ToTo, hệ thống chiếu sáng thông minh tự động",4 phòng
"Đường Nguyễn Khánh Toàn, Phường Quan Hoa, Cầu Giấy, Hà Nội",35 m²,4 tỷ,4 m,3 m,,,5 tầng,4 phòng,,"Nội thất Sang trọng, Điều hòa, Nóng Lạnh. Tủ bếp, Cửa thông phòng, cầu thang làm bằng gỗ Lim nam phi, Trần thạch cao. ",3 phòng
"Đường Phố Lụa, Phường Vạn Phúc, Hà Đông, Hà Nội",80 m²,8.9 tỷ,,,,,5 tầng,16 phòng,Sổ đỏ riêng,,16 phòng
"Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội",45 m²,5.2 tỷ,4.5 m,4 m,Tây - Nam,Tây - Nam,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,4 phòng
"Đường Triều Khúc, Phường Thượng Đình, Thanh Xuân, Hà Nội",45 m²,5.8 tỷ,3.8 m,2.5 m,,,6 tầng,12 phòng,Đã có sổ,,12 phòng
"Đường Lê Trọng Tấn, Phường Dương Nội, Hà Đông, Hà Nội",35 m²,2.73 tỷ,3.7 m,4 m,,,5 tầng,4 phòng,Sổ đỏ,Nội thất cơ bản đầy đủ ,3 phòng
"Đường Lê Trọng Tấn, Phường Dương Nội, Hà Đông, Hà Nội",35 m²,2.63 tỷ,3.8 m,4 m,,,5 tầng,4 phòng,Sổ đỏ,Nội thất cơ bản đầy đủ ,3 phòng
"Phố Phú Lương, Phường Phú Lương, Hà Đông, Hà Nội",40 m²,2.48 tỷ,4.5 m,3 m,,,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,Nội thất cơ bản đầy đủ ,4 phòng
"Phố Phú Lương, Phường Phú Lương, Hà Đông, Hà Nội",35 m²,2.32 tỷ,3.8 m,3 m,Đông - Nam,,4 tầng,3 phòng,Sổ đỏ,Nội thất cơ bản đầy đủ ,3 phòng
", Bích Hòa, Thanh Oai, Hà Nội",40.4 m²,1.95 tỷ,3.5 m,2 m,Đông - Nam,,3 tầng,2 phòng,,,3 phòng
"Đường Thịnh Liệt, Phường Thịnh Liệt, Hoàng Mai, Hà Nội",37 m²,3.28 tỷ,5 m,2 m,,,5 tầng,3 phòng,Sổ đỏ.,Nội thất cao cấp.,3 phòng
"Phố Phú Lương, Phường Phú Lương, Hà Đông, Hà Nội",36 m²,2.28 tỷ,4.2 m,3.2 m,Đông - Nam,Đông - Nam,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,Nội thất cơ bản,4 phòng
"Đường Tân Mai, Phường Tân Mai, Hoàng Mai, Hà Nội",56 m²,4.2 tỷ,4 m,3 m,,,4 tầng,3 phòng,,Đầy đủ.,4 phòng
"Đường Văn Phúc, Phường Vạn Phúc, Hà Đông, Hà Nội",36 m²,4.2 tỷ,3.8 m,10 m,,,4 tầng,4 phòng,Sổ đỏ,Mới đầy đủ,5 phòng
"Đường Trương Định, Phường Trương Định, Hai Bà Trưng, Hà Nội",54 m²,3.98 tỷ,4 m,3 m,,,5 tầng,4 phòng,Sổ đỏ chính chủ,Đầy đủ,6 phòng
"Đường Phùng Khoang, Phường Trung Văn, Nam Từ Liêm, Hà Nội.",45 m²,3.2 tỷ,,3 m,,,5 tầng,3 phòng,Sổ đỏ/ Sổ hồng,,6 phòng
"Đường Cầu Diễn, Phường Minh Khai, Bắc Từ Liêm, Hà Nội",105 m²,7.5 tỷ,5 m,5 m,,,4 tầng,,Sổ đỏ/ Sổ hồng,,10 phòng
"Đường Triều Khúc, Phường Thanh Xuân Nam, Thanh Xuân, Hà Nội",35 m²,3.75 tỷ,8 m,,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ.,3 phòng
"Đường Tân Ấp, Phường Phúc Xá, Ba Đình, Hà Nội",40 m²,4.5 tỷ,,,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Nhập khẩu 100% Italia,4 phòng
"Đường Nguyễn Khang, Phường Yên Hòa, Cầu Giấy, Hà Nội",55 m²,6.2 tỷ,,,,,5 tầng,5 phòng,Sổ đỏ/ Sổ hồng,,6 phòng
"Phường Đại Mỗ, Nam Từ Liêm, Hà Nội",45 m²,5 tỷ,,,,,,,Sổ đỏ/ Sổ hồng,,
"Phường Đại Mỗ, Nam Từ Liêm, Hà Nội.",65 m²,4.5 tỷ,,,,,,,Sổ đỏ/ Sổ hồng.,,
"Số 14 ngõ 63/30, Đường Phú Mỹ, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",50 m²,6.5 tỷ,3.65 m,4 m,Tây - Nam,Tây - Nam,5 tầng,4 phòng,,Đầy đủ.,6 phòng
"Đường Đại Mỗ, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội.",50 m²,4.8 tỷ,,,,,,,,,
"Phường Văn Quán, Hà Đông, Hà Nội",56 m²,6 tỷ,4 m,,,,6 tầng,,Sổ đỏ,,
"Ngõ 96, Đường Đại Từ, Phường Đại Kim, Hoàng Mai, Hà Nội",40 m²,4.86 tỷ,4 m,,,,4 tầng,,Sổ đỏ/ Sổ hồng.,,4 phòng
"Phường Mễ Trì, Nam Từ Liêm, Hà Nội",36 m²,3.8 tỷ,,,,,,,,,
"Đường Đại Mỗ, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội",84 m²,4.7 tỷ,,,,,,,,,
"Đường Đại Mỗ, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội.",39 m²,3.8 tỷ,,,,,5 tầng,,Sổ đỏ/ Sổ hồng,,
"Đường Đại Mỗ, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội.",34 m²,4.2 tỷ,,,,,,,,,
"Đường Nguyễn Trãi, Phường Nhân Chính, Thanh Xuân, Hà Nội",44 m²,5.45 tỷ,,,,,6 tầng,6 phòng,Sổ đỏ,Nội thất đầy đủ,9 phòng
"Đường Láng, Phường Thịnh Quang, Đống Đa, Hà Nội",38 m²,5.29 tỷ,,,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,3 phòng
"Đường Trường Chinh, Phường Ngã Tư Sở, Đống Đa, Hà Nội",65 m²,7.8 tỷ,4 m,4 m,,,5 tầng,4 phòng,,Nội thất đầy đủ,4 phòng
"Đường Đại Mỗ, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội.",51 m²,3.7 tỷ,,,,,,,,,
"Phường Đại Mỗ, Nam Từ Liêm, Hà Nội.",35 m²,3.6 tỷ,,,,,,,Sổ đỏ/ Sổ hồng,,
"Ngõ 68 Đường Cầu Giấy, Phường Quan Hoa, Cầu Giấy, Hà Nội",65 m²,8.9 tỷ,4 m,3 m,,,6 tầng,9 phòng,"Sổ đỏ, sổ hồng",Hiện đại,9 phòng
"Phố 8/3, Phường Quỳnh Mai, Hai Bà Trưng, Hà Nội",40 m²,5.8 tỷ,,,,,,,,,
"Đường Tỉnh Lộ 70, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội.",32 m²,3.4 tỷ,3.6 m,3 m,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Cơ bản.,3 phòng
"Phố Hào Nam, Phường Ô Chợ Dừa, Đống Đa, Hà Nội",44 m²,5.15 tỷ,4.2 m,,,,,,,,
"Phường Cát Linh, Đống Đa, Hà Nội",52 m²,7.6 tỷ,4 m,,,,5 tầng,,Sổ đỏ,,4 phòng
"Ngõ 564, Đường Nguyễn Văn Cừ, Phường Gia Thụy, Long Biên, Hà Nội",41 m²,5.6 tỷ,3.8 m,3.5 m,Tây - Nam,Tây - Nam,5 tầng,3 phòng,Sổ đỏ/ Sổ hồng,Nhà đầy đủ nội thất.,4 phòng
"Đường Quang Lãm, Phường Phú Lãm, Hà Đông, Hà Nội",33 m²,2.55 tỷ,3.5 m,2.7 m,Đông - Nam,Đông - Nam,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,"Thiết bị điện nước, tủ bếp, trần thạch cao, thiết bị vệ sinh, tủ bếp hiện đại. Khách chỉ việc dọn đồ về ở.",3 phòng
"Đường Quang Lãm, Phường Phú Lương, Hà Đông, Hà Nội",40 m²,2.85 tỷ,3.57 m,2.7 m,Tây - Bắc,Tây - Bắc,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,"* Nội thất: Cửa 2 lớp, cầu thang và cửa thông phòng gỗ Lim Nam Phi, thiết bị vệ sinh Inax, trần thạch cao các phòng, gạch chống xước, đầu chờ điều hòa, nóng lạnh, cáp mạng...",4 phòng
"Tổ 5 ngõ 197, Đường Phúc Lợi, Phường Phúc Lợi, Long Biên, Hà Nội",48 m²,3.85 tỷ,4 m,2.5 m,Tây - Nam,Tây - Nam,5 tầng,5 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ nội thất cơ bản,6 phòng
"Đường Đàm Quang Trung, Phường Long Biên, Long Biên, Hà Nội",53 m²,6.3 tỷ,4.1 m,3 m,Đông - Nam,Đông - Nam,4 tầng,4 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ nội thất cơ bản.,4 phòng
"Đường Lê Trọng Tấn, Phường La Khê, Hà Đông, Hà Nội",48 m²,6.05 tỷ,3.76 m,3.5 m,Đông,Đông,5 tầng,4 phòng,Sổ đỏ,"Cửa 2 lớp, bên trong cửa kính cường lực bên ngoài cửa cuốn, cầu thang và cửa thông phòng gỗ Lim Nam Phi, thiết bị vệ sinh Inax, trần thạch cao các phòng, gạch chống xước, đầu chờ điều hòa,",4 phòng
"Đường Văn Phú, Phường Phú La, Hà Đông, Hà Nội",48 m²,6.05 tỷ,3.76 m,3.5 m,Đông - Nam,Đông - Nam,5 tầng,4 phòng,Sổ đỏ,"Cửa 2 lớp, bên trong cửa kính cường lực bên ngoài cửa cuốn, cầu thang và cửa thông phòng gỗ Lim Nam Phi, thiết bị vệ sinh Inax, trần thạch cao các phòng, gạch chống xước, đầu chờ điều hòa,",4 phòng
"Đường Triều Khúc, Phường Thanh Xuân Nam, Thanh Xuân, Hà Nội",35 m²,3.8 tỷ,4 m,2.5 m,,,5 tầng,4 phòng,,Nội thất đầy đủ.,4 phòng
"Đường Đào Tấn, Phường Liễu Giai, Ba Đình, Hà Nội",41 m²,3.75 tỷ,,,,,3 tầng,3 phòng,,,3 phòng
"Phố Quan Nhân, Phường Nhân Chính, Thanh Xuân, Hà Nội",23 m²,2.85 tỷ,,,,,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,,3 phòng
"Đường Nguyễn Văn Linh, Phường Thạch Bàn, Long Biên, Hà Nội",36 m²,3.85 tỷ,4 m,4 m,Nam,Nam,6 tầng,5 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ nội thất.,3 phòng
"Phường Sài Đồng, Long Biên, Hà Nội",90 m²,8 tỷ,6 m,7 m,,,5 tầng,3 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ.,6 phòng
"Phường Lê Lợi, Sơn Tây, Hà Nội",100 m²,4 tỷ,,,,,3 tầng,,,,
"Đường Tô Vĩnh Diện, Phường Khương Trung, Thanh Xuân, Hà Nội",43 m²,4.7 tỷ,4 m,3 m,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ ,6 phòng
"Đường Phú Thượng, Phường Phú Thượng, Tây Hồ, Hà Nội",38 m²,3.6 tỷ,4 m,3 m,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ ,3 phòng
"Đường Hoàng Văn Thái, Phường Khương Trung, Thanh Xuân, Hà Nội",48 m²,7.4 tỷ,6.6 m,,,,6 tầng,4 phòng,,Cao cấp,4 phòng
"Đường Trường Chinh, Phường Phương Liệt, Thanh Xuân, Hà Nội",40 m²,9.5 tỷ,,,,,5 tầng,4 phòng,Sổ đỏ.,,5 phòng
"Phường Phú Đô, Nam Từ Liêm, Hà Nội",32 m²,3.35 tỷ,4 m,,,,,,Sổ đỏ/ Sổ hồng,,3 phòng
"Phường Phú Đô, Nam Từ Liêm, Hà Nội",45 m²,4 tỷ,4 m,3 m,,,4 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,4 phòng
"Đường Lê Trọng Tấn, Phường Khương Mai, Thanh Xuân, Hà Nội",40 m²,8 tỷ,6 m,,,,6 tầng,5 phòng,Sổ đỏ chính chủ.,,4 phòng
"Ngõ 559 Đường Kim Ngưu, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",60 m²,5.6 tỷ,6 m,2 m,Đông - Nam,,5 tầng,5 phòng,Sổ đỏ/ Sổ hồng,Nội thất cao cấp đầy đủ,6 phòng
"Phường La Khê, Hà Đông, Hà Nội",43 m²,2.55 tỷ,,,,,2 tầng,,,,
"Đường Hạ Yên, Phường Yên Hòa, Cầu Giấy, Hà Nội",55 m²,6.2 tỷ,,,,,5 tầng,5 phòng,Sổ đỏ/ Sổ hồng,,6 phòng
"Đường Hoàng Hoa Thám, Phường Liễu Giai, Ba Đình, Hà Nội",35 m²,3 tỷ,5.5 m,3 m,Bắc,Nam,3 tầng,2 phòng,Chính chủ,Có,2 phòng
"Ngõ 72, Đường Nguyễn Trãi, Phường Thượng Đình, Thanh Xuân, Hà Nội",45 m²,6.5 tỷ,4 m,4 m,,,5 tầng,5 phòng,Sổ đỏ/ Sổ hồng,Nội thất cao cấp,6 phòng
"đường Đông Ngạc, Phường Đông Ngạc, Bắc Từ Liêm, Hà Nội",35 m²,2.79 tỷ,,,,,5 tầng,4 phòng,,,3 phòng
"Đường Nguyễn Văn Lộc, Phường Mỗ Lao, Hà Đông, Hà Nội",50 m²,10 tỷ,4 m,12 m,,,5 tầng,5 phòng,Sổ đỏ/ Sổ hồng,Nội thất cao cấp,4 phòng
"Đường Kim Giang, Xã Thanh Liệt, Thanh Trì, Hà Nội",40 m²,4.4 tỷ,3.7 m,3 m,,,5 tầng,5 phòng,Sổ đỏ/ Sổ hồng,,4 phòng
"Đường Đào Tấn, Phường Liễu Giai, Ba Đình, Hà Nội",40 m²,9 tỷ,,,,,7 tầng,6 phòng,Sổ đỏ/ Sổ hồng,"Nội thất: Nhà hoàn thiện đầy đủ nội thất cao cấp, full thiết bị vệ sinh, tủ bếp, điều hòa, nóng lạnh.",4 phòng
"Ngõ 24, Đường Kim Đồng, Phường Tân Mai, Hoàng Mai, Hà Nội",65 m²,9.5 tỷ,,,,,5 tầng,5 phòng,Sổ đỏ.,,6 phòng
"Phố Kẻ Vẽ, Phường Đông Ngạc, Bắc Từ Liêm, Hà Nội",35 m²,2.79 tỷ,,,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,,4 phòng
"Phố Xã Đàn, Phường Kim Liên, Đống Đa, Hà Nội",40 m²,5.25 tỷ,4 m,3 m,,,5 tầng,,Sổ đỏ/ Sổ hồng,,4 phòng
"Đường Thụy Phương, Phường Thụy Phương, Bắc Từ Liêm, Hà Nội",36 m²,2.81 tỷ,,,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,,3 phòng
"đường Đông Ngạc, Phường Đông Ngạc, Bắc Từ Liêm, Hà Nội",39 m²,3.6 tỷ,,5 m,,,5 tầng,4 phòng,,,3 phòng
"Phố Yên Lạc, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",40 m²,6.6 tỷ,,,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,,3 phòng
"Phố Chùa Bộc, Phường Trung Liệt, Đống Đa, Hà Nội",39 m²,3.35 tỷ,3.5 m,3 m,,,4 tầng,3 phòng,Sổ đỏ,Nội thất đầy đủ.,3 phòng
"Đường Nguyễn Trãi, Phường Khương Trung, Thanh Xuân, Hà Nội",47 m²,9.7 tỷ,4.2 m,4 m,,,5 tầng,5 phòng,Sổ đỏ/ Sổ hồng,,5 phòng
"Đường Nguyễn Ngọc Nại, Phường Khương Mai, Thanh Xuân, Hà Nội",37 m²,9.6 tỷ,,,,,6 tầng,5 phòng,Sổ đỏ/ Sổ hồng,,5 phòng
"Đường Nguyễn Ngọc Nại, Phường Khương Mai, Thanh Xuân, Hà Nội",50 m²,9.15 tỷ,5 m,5 m,,,6 tầng,5 phòng,Sổ đỏ/ Sổ hồng,,5 phòng
"Ngõ 54, Đường Kim Ngưu, Phường Đống Mác, Hai Bà Trưng, Hà Nội",43 m²,7.2 tỷ,,3 m,,,5 tầng,3 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ cao cấp có bảo hành,4 phòng
"Đường Trần Thái Tông, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",45 m²,4.2 tỷ,4 m,3 m,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ.,4 phòng
"Ngõ 72, Đường Nguyễn Trãi, Phường Nhân Chính, Thanh Xuân, Hà Nội",28 m²,3.5 tỷ,3.2 m,3 m,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Nội thất cao cấp.,3 phòng
"Đường Hà Huy Tập, Xã Xã Yên Viên, Gia Lâm, Hà Nội",43 m²,2.065 tỷ,3.3 m,3 m,Đông - Nam,,1 tầng,1 phòng,Sổ đỏ/ Sổ hồng,,1 phòng
"Đường Giải Phóng, Phường Hoàng Liệt, Hoàng Mai, Hà Nội",30 m²,2.35 tỷ,3.5 m,3 m,,,4 tầng,3 phòng,Sổ đỏ,Xịn.,3 phòng
"Đường Hà Huy Tập, Thị trấn Yên Viên, Gia Lâm, Hà Nội",50 m²,2.8 tỷ,4.5 m,5 m,,,1 tầng,1 phòng,Sổ đỏ/ Sổ hồng.,,1 phòng
"ngõ 147, Đường Triều Khúc, Phường Thanh Xuân Nam, Thanh Xuân, Hà Nội",47 m²,5.5 tỷ,4.1 m,2.5 m,,,6 tầng,10 phòng,Sổ đỏ/ Sổ hồng,"Đầy đủ tiện ích cho thuê: Điều hòa, bình nóng lạnh, giường, tủ, rèm, tủ bếp, cục phát wifi, camera. Cửa chính và cửa các phòng đều thiết kế hiện đại, đèn điện trần thạch cao các phòng, thiết bị nhà vệ",10 phòng
"Đường Triều Khúc, Phường Thanh Xuân Nam, Thanh Xuân, Hà Nội",35 m²,6.25 tỷ,4 m,10 m,,,5 tầng,5 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ.,5 phòng
"Đường Thạch Bàn, Phường Thạch Bàn, Long Biên, Hà Nội",40 m²,3.6 tỷ,4 m,4 m,,,6 tầng,3 phòng,Sổ đỏ/ Sổ hồng.,Hiện đại.,3 phòng
"Đường Triều Khúc, Phường Thanh Xuân Nam, Thanh Xuân, Hà Nội",50 m²,6.6 tỷ,5.2 m,3 m,,,8 tầng,13 phòng,Sổ đỏ đẹp!,Nội thất đầy đủ!,12 phòng
"Dự án KĐT Văn Phú, Đường Lê Trọng Tấn, Phường Phú La, Hà Đông, Hà Nội",85 m²,10 tỷ,4.8 m,12 m,,,5 tầng,,Sổ đỏ/ Sổ hồng,,5 phòng
"Phố Lạc Trung, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",70 m²,7.4 tỷ,4 m,4 m,,,,,Sổ đỏ/ Sổ hồng,,
"Đường 19/5, Phường Văn Quán, Hà Đông, Hà Nội",37 m²,6.8 tỷ,4 m,12 m,,,6 tầng,3 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ.,3 phòng
"Ngõ 155, Đường Cầu Giấy, Phường Dịch Vọng, Cầu Giấy, Hà Nội",60 m²,6.9 tỷ,9 m,2 m,,,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,Cơ bản.,4 phòng
"Phố Dịch Vọng Hậu, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",60 m²,4.9 tỷ,4.2 m,2 m,,,,,Sổ đỏ/ Sổ hồng,,3 phòng
"Ngõ 127, Đường Lạc Long Quân, Phường Nghĩa Đô, Cầu Giấy, Hà Nội",41 m²,4.99 tỷ,3.5 m,2.5 m,Tây - Nam,,5 tầng,,Sổ đỏ/ sổ hồng,,
"Phố Kim Hoa, Phường Phương Liên, Đống Đa, Hà Nội",60 m²,5.6 tỷ,5.5 m,6 m,,,4 tầng,4 phòng,Sổ đỏ/ Sổ hồng,đầy đủ,5 phòng
"Đường Nguyễn Khuyến, Phường Văn Miếu, Đống Đa, Hà Nội",30 m²,6 tỷ,,4 m,,,5 tầng,5 phòng,,,5 phòng
"Phố Ngụy Như Kon Tum, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội",48 m²,8.5 tỷ,4 m,7 m,,,4 tầng,,Sổ đỏ/ Sổ hồng,,
"Đường Mậu Lương, Phường Kiến Hưng, Hà Đông, Hà Nội",75 m²,8.3 tỷ,5 m,,,,6 tầng,,Sổ đỏ,,
"Phố Chùa Láng, Phường Láng Thượng, Đống Đa, Hà Nội",40 m²,4.9 tỷ,3.6 m,2.5 m,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,đầy đủ,5 phòng
"Đường Trường Chinh, Phường Khương Thượng, Đống Đa, Hà Nội",65 m²,7.8 tỷ,4 m,3.2 m,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,đầy đủ,3 phòng
"Đường Triều Khúc, Phường Thanh Xuân Nam, Thanh Xuân, Hà Nội",45 m²,4.8 tỷ,4.6 m,,,,4 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,4 phòng
"Đường Trường Chinh, Phường Khương Thượng, Đống Đa, Hà Nội",65 m²,7.8 tỷ,4 m,3.2 m,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,đầy đủ,3 phòng
"Đường Triều Khúc, Phường Thanh Xuân Nam, Thanh Xuân, Hà Nội",45 m²,4.8 tỷ,4.6 m,,,,4 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,4 phòng
"Đường Hà Trì, Phường Hà Cầu, Hà Đông, Hà Nội",62 m²,3.8 tỷ,6.8 m,,,,3 tầng,2 phòng,Sổ đỏ,Đầy đủ.,3 phòng
"Đường 422B, Xã Vân Canh, Hoài Đức, Hà Nội",50 m²,3.15 tỷ,,,,,4 tầng,,Sổ đỏ/ Sổ hồng,,4 phòng
"Đường Ngô Tất Tố, Phường Văn Miếu, Đống Đa, Hà Nội",50 m²,6.25 tỷ,3.6 m,2.5 m,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,đầy đủ,5 phòng
"Đường Tỉnh Lộ 70, Phường Xuân Phương, Nam Từ Liêm, Hà Nội.",71 m²,4.3 tỷ,3.6 m,3 m,Tây - Bắc,,2 tầng,1 phòng,Sổ đỏ/ Sổ hồng.,,3 phòng
"Đường Trường Chinh, Phường Phương Liệt, Thanh Xuân, Hà Nội",35 m²,4.25 tỷ,4 m,2.5 m,,,5 tầng,7 phòng,Sổ đỏ/ Sổ hồng,đầy đủ,7 phòng
"Đường Lê Lợi, Phường Nguyễn Trãi, Hà Đông, Hà Nội",45 m²,4.3 tỷ,4.5 m,,,,1 tầng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,2 phòng
"Ngõ 135, Đường Đội Cấn, Phường Đội Cấn, Ba Đình, Hà Nội",70 m²,7.1 tỷ,4.3 m,3 m,Đông - Nam,,4 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ.,4 phòng
"Xã Di Trạch, Hoài Đức, Hà Nội",30 m²,2 tỷ,,,,,,,,,
"Đường Mỗ Lao, Phường Mỗ Lao, Hà Đông, Hà Nội",42 m²,7.15 tỷ,3.5 m,3.7 m,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Full.,3 phòng
"Phố Trần Đại Nghĩa, Phường Bách Khoa, Hai Bà Trưng, Hà Nội",50 m²,8.8 tỷ,,,,,6 tầng,12 phòng,Sổ đỏ/ Sổ hồng,,12 phòng
"Đường Phan Đình Giót, Phường La Khê, Hà Đông, Hà Nội",55 m²,4.3 tỷ,4 m,,,,2 tầng,2 phòng,Sổ đỏ,Đầy đủ,3 phòng
"Đường Nhật Chiêu, Phường Nhật Tân, Tây Hồ, Hà Nội",48 m²,5.5 tỷ,,,,,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,,4 phòng
"Đường Văn Cao, Phường Liễu Giai, Ba Đình, Hà Nội",40 m²,9 tỷ,4 m,3 m,,,7 tầng,5 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ ,4 phòng
"Ngõ 61, Phố Phùng Chí Kiên, Phường Nghĩa Tân, Cầu Giấy, Hà Nội",45 m²,8.6 tỷ,4 m,4 m,,,7 tầng,6 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,4 phòng
"Đường Nguyễn Trãi, Phường Khương Đình, Thanh Xuân, Hà Nội",30 m²,3.7 tỷ,,,,,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,,5 phòng
"Đường Đê La Thành, Phường Láng Hạ, Đống Đa, Hà Nội",32 m²,3.68 tỷ,,,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,,3 phòng
"Đường Nguyễn Trãi, Phường Nam Đồng, Đống Đa, Hà Nội",51 m²,5.5 tỷ,,,,,3 tầng,,Sổ đỏ/ Sổ hồng,,3 phòng
"Đường Minh Khai, Phường Minh Khai, Hai Bà Trưng, Hà Nội",30 m²,2.85 tỷ,,,,,,,Sổ đỏ/ Sổ hồng,,1 phòng
"Phố Chùa Quỳnh, Phường Quỳnh Lôi, Hai Bà Trưng, Hà Nội",40 m²,8.6 tỷ,6 m,,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,,2 phòng
"Đường Hoàng Văn Thái, Phường Khương Trung, Thanh Xuân, Hà Nội",40 m²,8.5 tỷ,4.6 m,3.5 m,,,4 tầng,,Sổ đỏ/ Sổ hồng,,4 phòng
"230, Phố Lạc Trung, Phường Thanh Lương, Hai Bà Trưng, Hà Nội",37 m²,4.95 tỷ,,,,,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,,3 phòng
"Đường Bắc Thăng Long, Xã Kim Chung, Đông Anh, Hà Nội",35 m²,4.6 tỷ,,50 m,Đông,,2 tầng,,Đã có sổ đỏ,,
"Phố Quan Nhân, Phường Nhân Chính, Thanh Xuân, Hà Nội",61 m²,8.6 tỷ,6.2 m,,,,4 tầng,,Sổ đỏ/ Sổ hồng,,3 phòng
"Đường Phú Diễn, Phường Phúc Diễn, Bắc Từ Liêm, Hà Nội",70 m²,8.6 tỷ,4 m,3 m,,,8 tầng,7 phòng,Sổ đỏ/ Sổ hồng.,Nội thất đầy đủ.,10 phòng
